Transactions for FY,2021
Date,Currency,Description,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
XBT,,,450b4d6b,0.00121800,820993.43
XBT,,,c4865965,0.00249600,800997.60
XBT,,,18bfe851,0.00126200,791996.83
XBT,,,303bc9a5,0.00132400,755128.40
XBT,,,fe3929c3,0.00130500,766000.00
XBT,,,54a9cccb,0.00133100,750999.25
XBT,,,00af6cd7,0.00134500,742996.28
XBT,,,f5d6f54f,0.00135300,738994.83
XBT,,,738903f5,0.00135500,737992.62
XBT,,,481c1786,0.00138500,722000.00
XBT,,,c0f9beaa,0.00141400,706994.34
XBT,,,f91c0fb9,0.00143800,695000.00
XBT,,,cf9d56b4,0.00145500,686996.56
XBT,,,63c804f8,0.00146800,680994.55
XBT,,,9fde97ed,0.00146000,684479.45
XRP,2540.00000000,18927.51,,,
XRP,,,ffd2f4c5,119.00000000,8.39
XRP,,,97ea152c,120.00000000,8.28
XRP,,,b2970fe4,122.00000000,8.19
XRP,,,29935c61,123.00000000,8.09
XRP,,,876ae495,124.00000000,8.01
XRP,,,061ba263,114.00000000,7.91
XRP,,,0be69527,12.00000000,7.91
XRP,,,0a6d68d7,123.00000000,8.11
XRP,,,35e98343,128.00000000,7.81
XRP,,,ae26b7e7,129.00000000,7.75
XRP,,,3a6dc189,130.00000000,7.65
XRP,,,1f959b79,12.00000000,7.55
XRP,,,bbcc07e2,120.00000000,7.55
XRP,,,710d8021,134.00000000,7.45
XRP,,,5eaa36d3,137.00000000,7.25
XRP,,,3a5d68b1,141.00000000,7.05
XRP,,,9e2ffbaf,144.00000000,6.90
XRP,,,bc774af1,147.00000000,6.78
XRP,,,9fc50866,150.00000000,6.64
XRP,,,3ed47fb9,153.00000000,6.51
XRP,,,dbbe613a,158.00000000,6.30
