Boughts for FY,2022
Date,Currency,Description,Trans Ref,Lot Ref,Qty Bought,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR),Fee (ZAR)
2021-03-31 03:02:11,XRP,Bought 400.00 XRP/ZAR @ 8.23,B_XRP_048,d0b477cb,400.00000000,8.23,3292.00,0.00,0.00,0.00
2021-03-31 08:02:17,XRP,Bought 500.00 XRP/ZAR @ 8.33,B_XRP_049,e5e13f92,500.00000000,8.33,4165.00,0.00,0.00,0.00
2021-03-31 08:04:52,LTC,"Bought 1.00 LTC/ZAR @ 2,905",B_LTC_071,f7535aed,1.00000000,2905.00,2905.00,0.00,0.00,0.00
2021-03-31 08:06:17,LTC,"Bought 1.00 LTC/ZAR @ 2,889",B_LTC_072,49abced2,1.00000000,2889.00,2889.00,0.00,0.00,0.00
2021-04-01 12:06:54,XRP,Bought 300.00 XRP/ZAR @ 8.42,B_XRP_050,c8bf7460,300.00000000,8.42,2526.00,0.00,0.00,0.00
2021-04-01 19:33:39,LTC,"Bought 1.00 LTC/ZAR @ 3,005",B_LTC_073,72bf493c,1.00000000,3005.00,3005.00,0.00,0.00,0.00
2021-04-03 07:49:42,XRP,Bought 200.00 XRP/ZAR @ 9.47,B_XRP_051,d00b3fe6,200.00000000,9.47,1894.00,0.00,0.00,0.00
2021-04-03 08:44:22,XRP,Bought 200.00 XRP/ZAR @ 9.27,B_XRP_052,24f2c9bd,200.00000000,9.27,1854.00,0.00,0.00,0.00
2021-04-03 16:02:45,LTC,"Bought 1.00 LTC/ZAR @ 3,151",B_LTC_074,f011da13,1.00000000,3151.00,3151.00,0.00,0.00,0.00
2021-04-03 16:52:53,XRP,Bought 300.00 XRP/ZAR @ 9.26,B_XRP_053,731e43a7,300.00000000,9.26,2778.00,0.00,0.00,0.00
2021-04-03 17:10:20,XRP,Bought 200.00 XRP/ZAR @ 9.02,B_XRP_054,0ab28d24,200.00000000,9.02,1804.00,0.00,0.00,0.00
2021-04-03 21:54:22,LTC,"Bought 0.4118 LTC/ZAR @ 3,070",B_LTC_075,867085a2,0.41180000,3069.99,1264.22,0.00,0.00,0.00
2021-04-03 21:54:22,LTC,"Bought 0.5882 LTC/ZAR @ 3,070",B_LTC_076,a43d0fee,0.58820000,3069.99,1805.77,0.00,0.00,0.00
2021-04-05 03:14:14,LTC,"Bought 2.00 LTC/ZAR @ 3,005",B_LTC_077,fa30dc9a,2.00000000,3005.00,6010.00,0.00,0.00,0.00
2021-04-05 03:57:31,XBT,"Bought 0.003 BTC/ZAR @ 875,000",B_XBT_108,5ea34d54,0.00300000,875000.00,2625.00,0.00,0.00,0.00
