"Date(UTC)","Pair","Side","Price","Executed","Amount","Fee"
"2021-11-28 18:20:17","XLMUSDT","BUY","0.3038","241XLM","73.2158USDT","0.241XLM"
"2021-11-26 08:21:12","WAVESUSDT","BUY","19","4WAVES","76USDT","0.004WAVES"
"2021-11-25 20:09:08","SHIBUSDT","BUY","0.00004223","8284224SHIB","349.84277952USDT","8284.22SHIB"
"2021-11-25 17:20:00","SHIBUSDT","SELL","0.00004693","7457916SHIB","349.99999788USDT","0.35USDT"
"2021-11-23 09:35:39","DOGEUSDT","BUY","0.2152","1167DOGE","251.1384USDT","1.167DOGE"
"2021-11-23 08:21:09","SHIBUSDT","BUY","0.00004267","7405300SHIB","315.984151USDT","7405.3SHIB"
"2021-11-21 19:21:30","SHIBUSDT","BUY","0.00004492","10675934SHIB","479.56295528USDT","10675.93SHIB"
"2021-11-19 15:12:53","SHIBUSDT","SELL","0.00005105","9402546SHIB","479.9999733USDT","0.47999997USDT"
"2021-11-18 15:23:18","SHIBUSDT","BUY","0.00004253","3775819SHIB","160.58558207USDT","3775.82SHIB"
"2021-11-18 15:23:18","SHIBUSDT","BUY","0.00004253","320221SHIB","13.61899913USDT","320.22SHIB"
"2021-11-18 15:23:18","SHIBUSDT","BUY","0.00004253","4686675SHIB","199.32428775USDT","4686.68SHIB"
"2021-11-16 19:32:59","SANDUSDT","SELL","3.274","48SAND","157.152USDT","0.157152USDT"
"2021-11-16 10:05:50","SHIBUSDT","BUY","0.00004801","8331597SHIB","399.99997197USDT","8331.6SHIB"
"2021-11-16 10:01:51","DOGEUSDT","BUY","0.2375","2105DOGE","499.9375USDT","2.105DOGE"
"2021-11-11 12:32:20","SHIBUSDT","SELL","0.00005456","6323313SHIB","344.99995728USDT","0.34499996USDT"
"2021-11-10 21:26:24","SANDUSDT","BUY","2.07","48SAND","99.36USDT","0.048SAND"
"2021-11-10 21:21:47","SHIBUSDT","BUY","0.00004745","6322444SHIB","299.9999678USDT","6322.44SHIB"
"2021-11-06 06:26:19","SHIBUSDT","SELL","0.00005932","5059875SHIB","300.151785USDT","0.30015179USDT"
"2021-11-05 14:49:22","SHIBUSDT","SELL","0.00005304","9426847SHIB","499.99996488USDT","0.49999996USDT"
"2021-11-04 15:54:08","SHIBUSDT","BUY","0.0000442","11312217SHIB","499.9999914USDT","11312.22SHIB"
"2021-11-04 15:06:40","SHIBUSDT","BUY","0.00004787","6266973SHIB","299.99999751USDT","6266.97SHIB"
"2021-11-03 22:43:34","SHIBUSDT","BUY","0.00005319","9400263SHIB","499.99998897USDT","9400.26SHIB"
"2021-11-03 21:21:39","SHIBUSDT","BUY","0.00005911","12231432SHIB","722.99994552USDT","12231.43SHIB"
"2021-11-03 05:47:10","SANDUSDT","BUY","2.8208","17SAND","47.9536USDT","0.017SAND"
"2021-11-03 05:45:43","XLMUSDT","BUY","0.3925","254XLM","99.695USDT","0.254XLM"
"2021-10-29 08:01:07","SHIBUSDT","SELL","0.00007115","10169984SHIB","723.5943616USDT","0.72359436USDT"
"2021-10-28 20:41:33","SHIBUSDT","BUY","0.00006215","10056315SHIB","624.99997725USDT","10056.32SHIB"
"2021-10-27 19:16:18","SHIBUSDT","SELL","0.00007905","7228827SHIB","571.43877435USDT","0.57143877USDT"
"2021-10-27 15:33:02","SHIBUSDT","SELL","0.00006905","4819218SHIB","332.7670029USDT","0.332767USDT"
"2021-10-27 07:07:15","SHIBUSDT","SELL","0.00005905","6425624SHIB","379.4330972USDT","0.3794331USDT"
"2021-10-27 02:30:18","SHIBUSDT","SELL","0.00004905","8567499SHIB","420.23582595USDT","0.42023583USDT"
"2021-10-24 06:49:11","SHIBUSDT","SELL","0.0000395","15231108SHIB","601.628766USDT","0.60162877USDT"
"2021-10-11 12:23:39","SHIBUSDT","SELL","0.00002905","11423331SHIB","331.84776555USDT","0.33184777USDT"
"2021-10-07 01:08:10","SHIBUSDT","SELL","0.00003115","20308144SHIB","632.5986856USDT","0.63259869USDT"
"2021-06-22 12:01:32","XRPUSDT","BUY","0.555","229.01XRP","127.10055USDT","0.22901XRP"
"2021-06-22 10:12:17","SCUSDT","BUY","0.009208","4595SC","42.31076USDT","4.595SC"
"2021-06-22 10:11:12","CAKEUSDT","BUY","11.12","5CAKE","55.6USDT","0.005CAKE"
"2021-06-22 10:10:24","ICPUSDT","BUY","35.44","2ICP","70.88USDT","0.002ICP"
"2021-06-22 10:09:19","DOGEUSDT","BUY","0.18458","431.7DOGE","79.683186USDT","0.4317DOGE"
"2021-06-22 10:05:10","XRPUSDT","BUY","0.5809","500XRP","290.45USDT","0.5XRP"
"2021-06-21 18:02:11","DOGEUSDT","BUY","0.20868","877.2DOGE","183.054096USDT","0.8772DOGE"
"2021-06-21 17:59:43","DOGEUSDT","BUY","0.20587","300DOGE","61.761USDT","0.3DOGE"
"2021-06-21 17:58:29","DGBUSDT","BUY","0.04011","1000DGB","40.11USDT","1DGB"
"2021-06-21 17:56:53","ETCUSDT","BUY","42.608","1ETC","42.608USDT","0.001ETC"
"2021-06-21 17:55:53","ICPUSDT","BUY","38.5","2ICP","77USDT","0.002ICP"
"2021-06-21 16:31:54","XRPUSDT","BUY","0.6618","100XRP","66.18USDT","0.1XRP"
"2021-06-21 16:29:57","XRPUSDT","BUY","0.664","100XRP","66.4USDT","0.1XRP"
"2021-06-21 13:19:55","XRPUSDT","BUY","0.6693","200XRP","133.86USDT","0.2XRP"
"2021-06-21 11:05:09","DOGEUSDT","BUY","0.23","371.5DOGE","85.445USDT","0.3715DOGE"
"2021-06-08 15:16:04","SHIBUSDT","BUY","0.0000064","1503542SHIB","9.6226688USDT","1503.54SHIB"
"2021-06-08 15:16:04","SHIBUSDT","BUY","0.0000064","11848914SHIB","75.8330496USDT","11848.91SHIB"
"2021-05-23 12:43:19","ETHUSDT","BUY","1950","0.08764ETH","170.898USDT","0.00008764ETH"
"2021-05-23 12:22:38","ETCUSDT","BUY","51","1.372ETC","69.972USDT","0.001372ETC"
"2021-05-21 20:51:04","BATUSDT","BUY","0.7128","24.28BAT","17.306784USDT","0.02428BAT"
"2021-05-21 20:50:23","ZILUSDT","BUY","0.10838","158.6ZIL","17.189068USDT","0.1586ZIL"
"2021-05-21 20:49:31","HOTUSDT","BUY","0.007083","4872HOT","34.508376USDT","4.872HOT"
"2021-05-21 20:49:10","CAKEUSDT","BUY","14.793","1.541CAKE","22.796013USDT","0.001541CAKE"
"2021-05-21 20:48:43","CAKEUSDT","BUY","14.9","2.054CAKE","30.6046USDT","0.002054CAKE"
"2021-05-21 20:46:08","DOGEUSDT","BUY","0.34164","186.8DOGE","63.818352USDT","0.1868DOGE"
"2021-05-21 20:42:41","SHIBUSDT","BUY","0.00000722","11872474SHIB","85.71926228USDT","11872.47SHIB"
"2021-05-19 12:50:43","CHZBTC","BUY","0.00000715","144CHZ","0.0010296BTC","0.144CHZ"
"2021-05-19 12:50:43","CHZBTC","BUY","0.00000715","56CHZ","0.0004004BTC","0.056CHZ"
"2021-05-19 11:33:11","BATBTC","BUY","0.0000223","12BAT","0.0002676BTC","0.012BAT"
"2021-05-19 11:27:29","SHIBUSDT","BUY","0.00001105","815047SHIB","9.00626935USDT","815.05SHIB"
"2021-05-19 11:27:29","SHIBUSDT","BUY","0.00001105","1362032SHIB","15.0504536USDT","1362.03SHIB"
"2021-05-19 10:47:22","TROYUSDT","BUY","0.014587","1855TROY","27.058885USDT","1.855TROY"
"2021-05-19 10:36:01","TRXUSDT","BUY","0.1007","263.8TRX","26.56466USDT","0.2638TRX"
"2021-05-19 10:35:02","BTTUSDT","BUY","0.0046915","7510BTT","35.233165USDT","7.51BTT"
"2021-05-19 10:34:21","TFUELUSDT","BUY","0.28919","138.3TFUEL","39.994977USDT","0.1383TFUEL"
"2021-05-19 10:33:58","AVAXUSDT","BUY","31.594","1.167AVAX","36.870198USDT","0.001167AVAX"
"2021-05-19 10:33:28","ZILUSDT","BUY","0.15135","324.7ZIL","49.143345USDT","0.3247ZIL"
"2021-05-19 10:32:52","HOTUSDT","BUY","0.009322","5349HOT","49.863378USDT","5.349HOT"
"2021-05-19 10:32:06","BATUSDT","BUY","0.9456","52.8BAT","49.92768USDT","0.0528BAT"
"2021-05-19 08:53:41","SCUSDT","BUY","0.023715","2108SC","49.99122USDT","2.108SC"
"2021-05-19 08:49:47","RLCUSDT","BUY","6.1715","8.1RLC","49.98915USDT","0.0081RLC"
"2021-05-19 08:37:04","RLCUSDT","BUY","6.0279","1.03RLC","6.208737USDT","0.00103RLC"
"2021-05-19 08:35:53","NULSUSDT","BUY","0.7466","40.05NULS","29.90133USDT","0.04005NULS"
"2021-05-19 08:34:20","DGBUSDT","BUY","0.08881","562.9DGB","49.991149USDT","0.5629DGB"
"2021-05-19 08:33:53","ETCUSDT","BUY","76.937","0.974ETC","74.936638USDT","0.000974ETC"
"2021-05-19 08:32:11","ICPUSDT","BUY","143.07","0.52ICP","74.3964USDT","0.00052ICP"
"2021-05-19 08:30:32","SHIBUSDT","BUY","0.00001302","3819709SHIB","49.73261118USDT","3819.71SHIB"
"2021-05-19 04:55:50","DOGEUSDT","BUY","0.38679","72.7DOGE","28.119633USDT","0.0727DOGE"
"2021-05-19 04:54:59","SHIBUSDT","BUY","0.00001205","1663674SHIB","20.0472717USDT","1663.67SHIB"
"2021-05-19 04:21:50","RENUSDT","BUY","0.67901","16.1REN","10.932061USDT","0.0161REN"
"2021-05-19 04:21:13","ICPUSDT","BUY","155.87","0.1ICP","15.587USDT","0.0001ICP"
"2021-05-19 04:18:38","CAKEUSDT","BUY","23.536","1.031CAKE","24.265616USDT","0.001031CAKE"
"2021-05-19 04:18:12","ETCUSDT","BUY","78.681","0.253ETC","19.906293USDT","0.000253ETC"
"2021-05-19 03:57:58","DGBUSDT","BUY","0.0955","400DGB","38.2USDT","0.4DGB"
"2021-05-19 02:59:28","ETCUSDT","BUY","81.1","0.493ETC","39.9823USDT","0.000493ETC"
"2021-05-19 01:16:33","DOGEUSDT","BUY","0.46","108.6DOGE","49.956USDT","0.1086DOGE"
"2021-05-18 22:23:05","ICPBTC","BUY","0.003843","0.44ICP","0.00169092BTC","0.00044ICP"
"2021-05-18 12:39:50","ICPUSDT","BUY","185.5","0.26ICP","48.23USDT","0.00026ICP"
"2021-05-17 18:34:33","FTMUSDT","BUY","0.58367","50.6FTM","29.533702USDT","0.0506FTM"
"2021-05-17 18:30:59","CAKEUSDT","BUY","25.964","1.149CAKE","29.832636USDT","0.001149CAKE"
"2021-05-17 18:29:52","NULSUSDT","BUY","0.8253","60.34NULS","49.798602USDT","0.06034NULS"
"2021-05-17 18:27:55","CAKEUSDT","BUY","26.193","1.526CAKE","39.970518USDT","0.001526CAKE"
"2021-05-17 18:27:13","RENUSDT","BUY","0.71676","41.8REN","29.960568USDT","0.0418REN"
