Financial Year,Coin,Sale Reference,Lot Reference,Quantity Sold,Unit Cost (ZAR),Total Cost (ZAR),Selling Price (ZAR),Proceeds (ZAR),Profit/Loss (ZAR),Fee Reference,Fee Amount (ZAR)
FY2022,LTC,20930ff1,in_buy_e8ee929fe93fbf,0.39850243,3283,1308.28347769,2989,1191.12376327,-117.15971442,,0
FY2022,ETH,2166240f,in_buy_873d018a540146,0.037241,26851.856824467656615,999.989999999999999999215,28799.9653419593345656,1072.5395092999075785575096,72.5495092999075785582946,,0
FY2022,ETH,2166240f,in_buy_ec2e8e7ef52c60,0.038001,26314.8338201626272993,999.9900000000000000006993,28799.9653419593345656,1094.4274829597966728273656,94.4374829597966728266663,,0
FY2022,ETH,2166240f,in_buy_7cc2aefc39508b,0.00437334,26029.8826040554962647,113.837526787620064034263098,28799.9653419593345656,125.952040428604436229121104,12.114513640984372194858006,,0
FY2022,ETH,2166240f,in_buy_ec5c602d686602,0.02425666,27399.9890398947829899,664.632218144454186759787734,28799.9653419593345656,698.590967311691312384006896,33.958749167237125624219162,,0
FY2022,LTC,217f158b,in_buy_e62e8c74652b80,0.12850243,2711,348.37008773,2991.994447015270708,384.47855698796853308582044,36.10846925796853308582044,,0
FY2022,LTC,217f158b,in_buy_2636859c7de793,0.08759757,2674,234.23590218,2991.994447015270708,262.09144301203146691297956,27.85554083203146691297956,,0
FY2022,LTC,21bb7054,in_buy_3fa1b964c291de,0.2098,3005,630.449,3352.9551954242135367,703.44999999999999999966,73.00099999999999999966,,0
FY2022,ETH,22523328,in_buy_748968200a9b1f,0.02010134,32968.909696350268702,662.71926323563351027026068,42807,860.47806138,197.75879814436648972973932,,0
FY2022,ETH,22523328,in_buy_ba865dbed39f22,0.02989866,33001,986.68567866,42807,1279.87193862,293.18625996,,0
FY2022,ETH,2367d4fb,in_buy_2e9bcba94d247d,0.01022966,39962,408.79767292,47734,488.30259044,79.50491752,,0
FY2022,ETH,2367d4fb,in_buy_4436bd3851563a,0.08977034,41520,3727.2645168,47734,4285.09740956,557.83289276,,0
FY2022,XRP,239170b0,in_buy_c16c62afca3af6,28.958,18.02,521.82316,19.6,567.5768,45.75364,,0
FY2022,XRP,239170b0,in_buy_dd5dfd42665892,183.042,16.6,3038.4972,19.6,3587.6232,549.126,,0
FY2022,XRP,23e5ed3c,in_buy_571eebf7383ade,73.881,8.28,611.73468,7.48,552.62988,-59.1048,,0
FY2022,XRP,23e5ed3c,in_buy_4b6d76aa810989,96.119,8.19,787.21461,7.48,718.97012,-68.24449,,0
FY2022,ETH,23fd69e2,in_buy_e44c1adf2e8407,0.036225,32100,1162.8225,43178.7439613526570048,1564.14999999999999999888,401.32749999999999999888,,0
FY2022,XBT,2487ec5e,in_buy_6d709d5d91be09,0.001046,808000,845.168,548996.1759082217973231,574.2499999999999999999626,-270.9180000000000000000374,,0
