Sales for FY,2022
Date,Currency,Trans Ref,Lot Ref,Qty Sold,Unit Cost (ZAR),Total Cost (ZAR),Proceeds (ZAR),Profit (ZAR)
2021-03-26 06:58:14,ETH,S192,89a9ec0b,-0.04390300,22776.80,999.97,1106.05,106.08
2021-03-26 06:58:14,ETH,S192,021e4f88,-0.02207500,22649.60,499.99,556.14,56.15
2021-03-26 06:58:14,ETH,S192,fac0921d,-0.04433600,22554.81,999.99,1116.96,116.97
2021-03-26 06:58:14,ETH,S192,050f28a9,-0.02420234,22102.91,534.94,609.73,74.79
2021-03-26 07:33:36,XBT,S193,7c1000a6,-0.00006032,822000.00,49.58,48.80,-0.78
2021-03-26 07:33:36,XBT,S193,51c57e7c,-0.00300000,813000.00,2439.00,2427.00,-12.00
2021-03-26 07:33:36,XBT,S193,779a016f,-0.00193968,802000.00,1555.62,1569.20,13.58
2021-03-26 10:44:41,XRP,S194,c14dd228,-17.00000000,8.01,136.17,140.25,4.08
2021-03-26 10:44:42,XRP,S195,c14dd228,-182.62900000,8.01,1462.86,1506.69,43.83
2021-03-26 10:44:42,XRP,S195,da703070,-0.37100000,8.20,3.04,3.06,0.02
2021-03-26 10:52:19,XRP,S196,da703070,-199.62900000,8.20,1636.96,1666.90,29.94
2021-03-26 10:52:19,XRP,S196,c769497d,-0.37100000,8.10,3.01,3.10,0.09
2021-03-26 11:14:33,XRP,S197,c769497d,-199.62900000,8.10,1616.99,1684.87,67.87
2021-03-26 11:14:33,XRP,S197,eab8ca27,-0.37100000,8.01,2.97,3.13,0.16
2021-03-26 11:32:18,XRP,S198,eab8ca27,-179.62900000,8.01,1438.83,1526.85,88.02
2021-03-26 11:32:18,XRP,S198,16a39c65,-20.00000000,8.01,160.20,170.00,9.80
2021-03-26 11:32:18,XRP,S198,819c2130,-200.37100000,7.85,1572.91,1703.15,130.24
2021-03-26 11:34:34,XRP,S199,819c2130,-99.62900000,7.85,782.09,852.82,70.74
2021-03-26 11:34:34,XRP,S199,47f4bb4e,-100.37100000,7.31,733.71,859.18,125.46
2021-03-26 16:18:06,ETH,S200,050f28a9,-0.02103966,22102.91,465.04,534.41,69.37
2021-03-26 16:18:06,ETH,S200,328e4a2d,-0.04587100,21799.83,999.98,1165.12,165.14
2021-03-26 16:18:06,ETH,S200,51a6f82b,-0.04683800,21349.97,999.99,1189.69,189.70
2021-03-26 16:18:06,ETH,S200,805fd4c5,-0.04780100,20919.86,999.99,1214.15,214.16
2021-03-26 16:18:06,ETH,S200,5b0c51a4,-0.03845034,20699.87,795.92,976.64,180.72
2021-03-26 16:31:22,XBT,S201,779a016f,-0.00106032,802000.00,850.38,874.76,24.39
2021-03-26 16:31:22,XBT,S201,916c8d7b,-0.00300000,785000.00,2355.00,2475.00,120.00
2021-03-26 16:31:22,XBT,S201,a7ddf429,-0.00500000,801000.00,4005.00,4125.00,120.00
2021-03-26 16:31:22,XBT,S201,c7d74850,-0.00093968,801000.00,752.68,775.24,22.55
